buurtcode,buurtnaam,wijkcode,inwoners_per_km2,perc_0_15_jaar,perc_15_25_jaar,perc_25_45_jaar,perc_45_65_jaar,perc_65_en_ouder,perc_ongehuwd,perc_gehuwd,perc_gescheid,perc_verweduwd,aantal_huishoudens,perc_eenpersoonshuishoudens,perc_huishoudens_z_kind,perc_huishoudens_met_kind,gemiddelde_huishoudsgrootte,perc_west_migratie,perc_niet_west_migratie,percentage_uit_marokko,perc_uit_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,perc_overige_nietwestersemigratie,bedrijven_landbouw,gemid_won_waarde,perc_eengezinswoning,perc_meergezinswoning,perc_koopwoningen,perc_huurwoningen,perc_huurwoning_van_corporaties,perc_huurwoning_van_verhuurder,perc_werknemers,perc_zelfstandigen,gemiddeld_inkomen_per_inwoner,perc_huishoud_laag_inkomen,perc_huishoud_hoog_inkomen,personen_met_bijstandsuitkering,gewelds_misdrijven,autos_totaal,autos_per_huishouden,motortweewielers,bevolking_totaal,percentage_minimahuishoudens,aantal_minimahuishoudens,gemiddeld_huishoudensinkomen,diefstal_af_uit_woning,diefstal_auto,diefstal_fiets,diefstal_af_uit_bedrijf,diefstal_af_uit_auto,aangiften_van_vernieling,aangiften_van_mishandeling,dogs_amount,politie_report_aantal
BU000602,Klein Martijn,WK001406,2452.0,14.0,10.0,10.0,39.0,27.0,41.0,50.0,4.0,5.0,285.0,25.0,41.0,34.0,2.3,9.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,409.0,79.0,21.0,88.0,12.0,0.0,12.0,79.0,21.0,46.0,12.0,55.0,0.0,3.0,330.0,1.2,20.0,649.0,1.8,0,68.9,2.0,0.0,2.0,0.0,0.0,2.0,0.0,31,6.0
BU000603,Villabuurt,WK001406,1420.0,14.0,9.0,11.0,27.0,38.0,36.0,51.0,6.0,7.0,430.0,33.0,42.0,25.0,2.2,11.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,535.0,71.0,29.0,94.0,6.0,0.0,6.0,66.0,34.0,50.0,16.0,49.0,0.0,2.0,605.0,1.4,20.0,922.0,1.2,0,81.7,9.0,1.0,3.0,0.0,0.0,5.0,1.0,49,19.0
BU000604,Helpman,WK001406,10471.0,10.0,21.0,35.0,22.0,12.0,71.0,18.0,8.0,3.0,4070.0,67.0,19.0,14.0,1.5,13.0,8.0,0.0,1.0,1.0,0.0,6.0,0.0,181.0,17.0,83.0,54.0,45.0,16.0,29.0,86.0,14.0,28.0,57.0,12.0,280.0,4.0,2110.0,0.5,150.0,6136.0,14.8,460,35.9,12.0,2.0,54.0,3.0,11.0,29.0,28.0,123,139.0
BU000605,De Wijert,WK001406,8183.0,13.0,14.0,37.0,21.0,15.0,67.0,19.0,9.0,5.0,2925.0,59.0,21.0,19.0,1.6,14.0,19.0,0.0,3.0,2.0,1.0,13.0,0.0,126.0,15.0,85.0,27.0,73.0,48.0,24.0,90.0,10.0,22.0,65.0,4.0,490.0,5.0,1455.0,0.5,95.0,4807.0,21.9,570,29.3,14.0,2.0,31.0,3.0,10.0,21.0,12.0,127,93.0
BU000606,De Wijert-Zuid,WK001406,3444.0,20.0,9.0,19.0,28.0,25.0,47.0,39.0,7.0,6.0,1440.0,36.0,29.0,34.0,2.2,10.0,6.0,0.0,1.0,1.0,0.0,4.0,0.0,273.0,67.0,33.0,82.0,18.0,8.0,10.0,83.0,17.0,33.0,26.0,34.0,20.0,2.0,1375.0,1.0,55.0,3183.0,4.6,60,52.6,15.0,0.0,3.0,3.0,1.0,16.0,2.0,106,40.0
BU000700,Corpus den Hoorn,WK001407,4138.0,10.0,14.0,34.0,20.0,22.0,62.0,22.0,9.0,7.0,2740.0,60.0,24.0,16.0,1.6,11.0,13.0,1.0,1.0,1.0,1.0,9.0,0.0,145.0,18.0,82.0,30.0,70.0,55.0,15.0,91.0,9.0,24.0,65.0,7.0,290.0,8.0,1530.0,0.6,130.0,4507.0,19.0,460,30.3,8.0,1.0,10.0,5.0,15.0,24.0,11.0,132,74.0
BU000701,Hoornse Meer,WK001407,4521.0,12.0,10.0,24.0,27.0,27.0,52.0,30.0,10.0,8.0,2415.0,53.0,26.0,21.0,1.7,9.0,6.0,0.0,1.0,1.0,0.0,4.0,0.0,193.0,33.0,67.0,37.0,59.0,36.0,23.0,86.0,14.0,28.0,49.0,14.0,140.0,3.0,1710.0,0.7,100.0,4422.0,12.7,280,37.4,13.0,0.0,9.0,2.0,1.0,13.0,7.0,141,45.0
BU000702,Hoornse Park,WK001407,2160.0,16.0,7.0,17.0,31.0,30.0,42.0,48.0,6.0,4.0,305.0,21.0,44.0,35.0,2.4,12.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,403.0,89.0,11.0,84.0,16.0,0.0,16.0,77.0,23.0,38.0,12.0,45.0,0.0,0.0,375.0,1.2,25.0,719.0,1.7,0,63.7,2.0,0.0,2.0,0.0,0.0,2.0,1.0,22,7.0
BU000703,Van Swieten,WK001407,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,17.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2,4.0
BU000704,Piccardthof,WK001407,1372.0,21.0,14.0,11.0,40.0,13.0,51.0,43.0,3.0,2.0,425.0,10.0,36.0,55.0,2.9,6.0,5.0,0.0,1.0,1.0,0.0,3.0,0.0,455.0,90.0,10.0,96.0,4.0,0.0,4.0,79.0,21.0,41.0,6.0,68.0,0.0,1.0,575.0,1.3,40.0,1217.0,1.2,0,78.6,4.0,0.0,3.0,1.0,0.0,4.0,2.0,35,14.0
BU000705,Bruilweering,WK001407,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,83.0,3.0,13.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3,4.0
BU000800,Hoogkerk Dorp,WK001408,1427.0,15.0,13.0,23.0,29.0,20.0,51.0,36.0,8.0,5.0,905.0,39.0,29.0,31.0,2.0,6.0,6.0,0.0,1.0,1.0,0.0,3.0,5.0,156.0,82.0,18.0,43.0,54.0,46.0,8.0,82.0,18.0,19.0,56.0,8.0,120.0,10.0,800.0,0.9,60.0,1862.0,19.3,170,32.4,3.0,0.0,2.0,1.0,0.0,22.0,10.0,174,38.0
BU000801,Hoogkerk-Zuid,WK001408,2514.0,19.0,10.0,24.0,26.0,21.0,48.0,39.0,7.0,6.0,2425.0,33.0,30.0,37.0,2.2,8.0,5.0,0.0,1.0,1.0,0.0,3.0,0.0,161.0,83.0,17.0,62.0,38.0,31.0,7.0,91.0,9.0,21.0,41.0,11.0,140.0,3.0,2250.0,0.9,160.0,5466.0,11.0,260,36.8,12.0,1.0,2.0,1.0,2.0,16.0,7.0,347,41.0
