buurtcode,buurtnaam,wijkcode,gemeentecode,gemeentenaam,indelingswijziging_wijken_en_buurten,water,meest_voorkomende_postcode,dekkingspercentage,omgevingsadressendichtheid,stedelijkheid_adressen_per_km2,bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,aantal_huishoudens,percentage_eenpersoonshuishoudens,percentage_huishoudens_zonder_kinderen,percentage_huishoudens_met_kinderen,gemiddelde_huishoudsgrootte,percentage_westerse_migratieachtergrond,percentage_niet_westerse_migratieachtergrond,percentage_uit_marokko,percentage_uit_nederlandse_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersemigratieachtergrond,oppervlakte_totaal_in_ha,oppervlakte_land_in_ha,oppervlakte_water_in_ha,jrstatcode,jaar
BU00140606,De Wijert-Zuid,WK001406,GM0014,Groningen,1,NEE,9721,1,2217,2,3671,3390,1630,1765,20,9,20,27,24,49,38,7,5,1515,36,29,35,2.2,11,8,0,1,1,1,5,92,92,0,2022BU00140606,2022
BU00140401,Vogelbuurt,WK001404,GM0014,Groningen,1,NEE,9713,1,4236,1,7939,2795,1370,1430,14,13,41,21,10,71,17,9,3,1745,64,16,19,1.6,14,22,0,3,2,1,15,37,35,2,2022BU00140401,2022
BU00141206,Zilvermeer,WK001412,GM0014,Groningen,1,NEE,9735,1,1373,3,3583,220,110,110,16,11,16,36,21,49,41,5,5,85,17,43,40,2.5,4,9,0,1,1,0,6,7,6,1,2022BU00141206,2022
BU00140509,Stainkoel'n,WK001405,GM0014,Groningen,1,NEE,9723,1,105,5,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,91,87,4,2022BU00140509,2022
BU00140600,Sterrebosbuurt,WK001406,GM0014,Groningen,1,NEE,9721,6,3716,1,1419,850,545,300,14,6,40,27,13,65,26,7,2,275,31,41,29,2.2,12,15,2,3,2,1,7,62,60,2,2022BU00140600,2022
BU00141709,Wolddeelen,WK001417,GM0014,Groningen,1,NEE,9752,1,352,5,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,176,136,41,2022BU00141709,2022
BU00141002,Paddepoel-Noord,WK001410,GM0014,Groningen,1,NEE,9742,1,3957,1,9016,5955,2915,3045,8,26,26,16,23,62,23,8,7,4065,71,18,11,1.4,21,22,1,2,2,3,14,67,66,1,2022BU00141002,2022
BU00140901,Vinkhuizen-Zuid,WK001409,GM0014,Groningen,1,NEE,9743,1,2746,1,4659,4765,2235,2530,16,15,21,24,24,53,28,11,7,2365,49,22,29,2.0,12,25,3,3,4,2,13,104,102,2,2022BU00140901,2022
BU00140802,Westpoort,WK001408,GM0014,Groningen,1,NEE,9744,1,99,5,-99999999,5,5,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,1.3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,138,125,13,2022BU00140802,2022
BU00141703,Haren-Noord,WK001417,GM0014,Groningen,1,NEE,9751,2,815,4,1953,3890,1885,2005,26,7,26,19,22,53,33,5,8,1440,34,23,43,2.5,9,5,0,1,0,0,3,199,199,0,2022BU00141703,2022
BU00141208,Drielanden,WK001412,GM0014,Groningen,1,NEE,9734,1,1082,3,4008,925,465,455,15,12,16,39,18,49,42,8,1,390,25,36,40,2.4,9,4,0,0,2,0,2,25,23,2,2022BU00141208,2022
BU00141702,Haren-Zuidoost,WK001417,GM0014,Groningen,1,NEE,9751,1,1270,3,2119,3630,1745,1880,17,10,20,28,25,47,38,10,5,1725,42,27,31,2.1,9,5,0,0,0,0,3,172,171,1,2022BU00141702,2022
BU00140804,Zuidwending,WK001408,GM0014,Groningen,1,NEE,9745,1,228,5,26,40,25,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,20,30,35,35,2.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,163,155,8,2022BU00140804,2022
BU00140803,Vierverlaten,WK001408,GM0014,Groningen,1,NEE,9744,1,343,5,123,130,75,60,14,11,33,27,14,52,42,5,2,65,39,31,30,2.1,9,2,-99999999,-99999999,-99999999,-99999999,-99999999,110,107,3,2022BU00140803,2022
