SCHOOL_ID,DATUM,INSTELLINGSNAAM_VESTIGING,POSTCODE_VESTIGING,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,PROVINCIE,SOORT_PO,DENOMINATIE_VESTIGING,BEVOEGD_GEZAG_NUMMER,EXAMEN,EXAMEN_AANTAL,EXAMEN_GEM
019BE_2017,2017,De Clipper,3071AC,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,CET,39,535.358974358974
019BF_2017,2017,Obs De Dijk,1507BE,ZAANDAM,479,Zaanstad,Noord-Holland,Bo,Openbaar,41852,CET,38,537.631578947368
019BH_2017,2017,Cornelis Jetses,1109AR,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41716,CET,10,542.2
019BJ_2017,2017,Fellenoord,5612WS,EINDHOVEN,772,Eindhoven,Noord-Brabant,Bo,Rooms-Katholiek,40378,CET,17,538.705882352941
019BO_2017,2017,Pieter Bakkumsch,1077AZ,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41781,CET,60,543.2
019BP_2017,2017,OBS Uniek,6717ST,EDE GLD,228,Ede,Gelderland,Bo,Openbaar,41674,CET,16,532.8125
019BQ_2017,2017,Onder De Wieken,5627VG,EINDHOVEN,772,Eindhoven,Noord-Brabant,Bo,Rooms-Katholiek,40378,IEP,28,87.08256739375351
019BS_2017,2017,Alberdingk Thijmsch,1073TN,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41781,CET,46,537.5
019BT_2017,2017,De Roedel,6732DC,HARSKAMP,228,Ede,Gelderland,Bo,Openbaar,41674,CET,7,532.857142857143
019BU_2017,2017,De Kubus,3079PM,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,IEP,22,84.22781011833179
119BU_2017,2017,OBS De Kubus,3079KG,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,IEP,11,79.9117624017114
019BV_2017,2017,Obs De Voorzaan,1506NM,ZAANDAM,479,Zaanstad,Noord-Holland,Bo,Openbaar,41852,CET,24,527.291666666667
019BW_2017,2017,Dongesch,1078VN,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41781,CET,49,536.632653061224
019BX_2017,2017,De Sprong,6741BD,LUNTEREN,228,Ede,Gelderland,Bo,Openbaar,41674,IEP,9,76.02731945675299
019BZ_2017,2017,Obs H. Gorter,1501TX,ZAANDAM,479,Zaanstad,Noord-Holland,Bo,Openbaar,41852,CET,79,534.025316455696
019CA_2017,2017,De Springstok,1074XR,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41781,CET,22,534.909090909091
019CB_2017,2017,De Groene Palm,3078KJ,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,IEP,8,88.72728986290849
019CC_2017,2017,OBS Et Buut,1506WE,ZAANDAM,479,Zaanstad,Noord-Holland,Bo,Openbaar,41852,CET,57,538.315789473684
019CD_2017,2017,CC Einstein,1066BR,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41579,IEP,19,74.7779372229945
019CF_2017,2017,De Plataan,3195RH,PERNIS ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,CET,15,528.466666666667
019CH_2017,2017,Obs Flevopark,1095VX,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Openbaar,41774,CET,52,529.211538461538
019CT_2017,2017,Andries V/d Vlerksch,3192SE,HOOGVLIET ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,IEP,15,80.4584617791499
019CY_2017,2017,Fabritiusschool,1213CT,HILVERSUM,402,Hilversum,Noord-Holland,Bo,Openbaar,41493,CET,60,541.766666666667
019DD_2017,2017,Goudenregenschool,1214NC,HILVERSUM,402,Hilversum,Noord-Holland,Bo,Openbaar,41493,CET,30,538.9
019DI_2017,2017,Elckerlyc,1215EG,HILVERSUM,402,Hilversum,Noord-Holland,Bo,Openbaar,41493,CET,59,539.8644067796611
019DK_2017,2017,Obs De Zoeker,1544VX,ZAANDIJK,479,Zaanstad,Noord-Holland,Bo,Openbaar,41852,CET,51,533.843137254902
019DM_2017,2017,Sterrenschool Hilversum,1222TJ,HILVERSUM,402,Hilversum,Noord-Holland,Bo,Openbaar,41493,IEP,12,75.6316817493961
019DN_2017,2017,Bs Het Prisma,3194TB,HOOGVLIET ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,CET,49,537.142857142857
119DN_2017,2017,BS Het Prisma,3193TB,HOOGVLIET ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,CET,26,537.076923076923
019DP_2017,2017,Dr Ir C Lelyschool,1222VC,HILVERSUM,402,Hilversum,Noord-Holland,Bo,Openbaar,41493,IEP,7,85.11568279146509
019DQ_2017,2017,De Notenkraker,3194GS,HOOGVLIET ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,IEP,21,73.0882964878163
019DR_2017,2017,OBS J P Minckelers,1221KH,HILVERSUM,402,Hilversum,Noord-Holland,Bo,Openbaar,41493,IEP,24,86.55128247244569
019DS_2017,2017,De Tuimelaar,3192BM,HOOGVLIET ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,IEP,10,71.5645261177675
019HM_2017,2017,SSBO St Paulus,1075GS,AMSTERDAM,363,Amsterdam,Noord-Holland,Sbo,Rooms-Katholiek,77690,CET,7,519.0
019IV_2017,2017,OBS De Singelier,7981DV,DIEVER,1701,Westerveld,Drenthe,Bo,Openbaar,41868,ROUTE8,18,205.0
019JG_2017,2017,BS St Petrus,5281CH,BOXTEL,757,Boxtel,Noord-Brabant,Bo,Rooms-Katholiek,40706,CET,30,542.4333333333329
019JJ_2017,2017,BS De Ploeg,1251PT,LAREN NH,417,Laren,Noord-Holland,Bo,Openbaar,41376,CET,27,537.62962962963
019JK_2017,2017,OBS Pr Beatrix,9914PK,ZEERIJP,24,Loppersum,Groningen,Bo,Openbaar,41574,CET,13,533.615384615385
019JO_2017,2017,Openb basissch De Egelantier,3765CJ,SOEST,342,Soest,Utrecht,Bo,Openbaar,41481,CET,16,532.375
