BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LJ8_13;ZIT_13;ZITPERC_13;ZITPERC_LJ_13;LJ8_14;ZIT_14;ZITPERC_14;ZITPERC_LJ_14;LJ8_15;ZIT_15;ZITPERC_15;ZITPERC_LJ_15;LJ8_16;ZIT_16;ZITPERC_16;ZITPERC_LJ_16;LJ8_17;ZIT_17;ZITPERC_17;ZITPERC_LJ_17;LJ8_18;ZIT_18;ZITPERC_18;ZITPERC_LJ_18;LJ8_19;ZIT_19;ZITPERC_19;ZITPERC_LJ_19
07ZT;00;CBS Nederwoud;6741NE;LUNTEREN; 228;Ede;Gelderland;Bo;Protestants-Christelijk;87920;8;0;0;0;8;1;,125;,015625;12;2;,166666666666667;,0208333333333333;7;1;,142857142857143;,0178571428571429;13;5;,384615384615385;,0480769230769231;11;0;0;0;12;1;,0833333333333333;,0104166666666667
07ZU;00;School Met De Bijbel;3738VK;MAARTENSDIJK; 310;De Bilt;Utrecht;Bo;Reformatorisch;87998;25;5;,2;,025;24;0;0;0;19;3;,157894736842105;,0197368421052632;24;1;,0416666666666667;,00520833333333333;25;4;,16;,02;28;1;,0357142857142857;,00446428571428571;15;2;,133333333333333;,0166666666666667
07ZX;00;School met de Bijbel;3947MV;LANGBROEK; 352;Wijk bij Duurstede;Utrecht;Bo;Protestants-Christelijk;88674;20;3;,15;,01875;17;0;0;0;14;2;,142857142857143;,0178571428571429;13;0;0;0;14;2;,142857142857143;,0178571428571429;11;1;,0909090909090909;,0113636363636364;16;1;,0625;,0078125
07ZY;00;Chr School De Regenboog;4255HL;NIEUWENDIJK NB;1959;Altena;Noord-Brabant;Bo;Protestants-Christelijk;41239;43;2;,0465116279069767;,00581395348837209;34;3;,0882352941176471;,0110294117647059;35;4;,114285714285714;,0142857142857143;31;1;,032258064516129;,00403225806451613;25;2;,08;,01;24;1;,0416666666666667;,00520833333333333;33;1;,0303030303030303;,00378787878787879
07ZZ;00;School Met De Bijbel;4306CH;NIEUWERKERK;1676;Schouwen-Duiveland;Zeeland;Bo;Reformatorisch;42724;22;3;,136363636363636;,0170454545454545;22;0;0;0;25;3;,12;,015;17;1;,0588235294117647;,00735294117647059;17;0;0;0;22;2;,0909090909090909;,0113636363636364;23;3;,130434782608696;,016304347826087
08AB;00;Chr Basisschool Immanuel;9257VC;NOARDBURGUM; 737;Tytsjerksteradiel;Friesland;Bo;Protestants-Christelijk;42754;15;2;,133333333333333;,0166666666666667;17;4;,235294117647059;,0294117647058824;15;4;,266666666666667;,0333333333333333;11;3;,272727272727273;,0340909090909091;7;2;,285714285714286;,0357142857142857;19;5;,263157894736842;,0328947368421053;14;1;,0714285714285714;,00892857142857143
08AD;00;Basisschool Joh Calvijn;3864ER;NIJKERKERVEEN; 267;Nijkerk;Gelderland;Bo;Protestants-Christelijk;89155;16;0;0;0;15;2;,133333333333333;,0166666666666667;13;0;0;0;15;3;,2;,025;21;4;,19047619047619;,0238095238095238;37;5;,135135135135135;,0168918918918919;35;0;0;0
08AE;00;Prins Clausschool;6536DB;NIJMEGEN; 268;Nijmegen;Gelderland;Bo;Protestants-Christelijk;29810;53;5;,0943396226415094;,0117924528301887;45;6;,133333333333333;,0166666666666667;41;5;,121951219512195;,0152439024390244;53;8;,150943396226415;,0188679245283019;38;8;,210526315789474;,0263157894736842;36;6;,166666666666667;,0208333333333333;46;8;,173913043478261;,0217391304347826
08AF;00;SWS de Humstee;9883PR;OLDEHOVE;1969;Westerkwartier;Groningen;Bo;Protestants-Christelijk;41571;9;0;0;0;9;1;,111111111111111;,0138888888888889;6;1;,166666666666667;,0208333333333333;16;1;,0625;,0078125;28;1;,0357142857142857;,00446428571428571;14;1;,0714285714285714;,00892857142857143;16;0;0;0
08AG;00;Meester S Wybrandisch;8413NM;OUDEHORNE;  74;Heerenveen;Friesland;Bo;Protestants-Christelijk;41282;12;0;0;0;11;0;0;0;15;1;,0666666666666667;,00833333333333333;7;0;0;0;13;0;0;0;10;0;0;0;13;0;0;0
08AI;00;CBS De Rietstek;9882PM;KOMMERZIJL;1969;Westerkwartier;Groningen;Bo;Protestants-Christelijk;41571;10;1;,1;,0125;10;0;0;0;6;2;,333333333333333;,0416666666666667;8;0;0;0;4;0;0;0;10;6;,6;,075;7;0;0;0
