"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"Generatie";"Migratieachtergrond";"Perioden";"Bevolking_1"
"206";"T001038";"10000";"T001019";"T001040";"H008520";"2013JJ00";"637296"
"207";"T001038";"10000";"T001019";"T001040";"H008520";"2014JJ00";"643290"
"208";"T001038";"10000";"T001019";"T001040";"H008520";"2015JJ00";"651115"
"209";"T001038";"10000";"T001019";"T001040";"H008520";"2016JJ00";"659900"
"210";"T001038";"10000";"T001019";"T001040";"H008520";"2017JJ00";"669307"
"211";"T001038";"10000";"T001019";"T001040";"H008520";"2018JJ00";"683250"
"212";"T001038";"10000";"T001019";"T001040";"H008520";"2019JJ00";"700155"
"213";"T001038";"10000";"T001019";"T001040";"H008520";"2020JJ00";"719601"
"214";"T001038";"10000";"T001019";"T001040";"H008520";"2021JJ00";"733401"
"215";"T001038";"10000";"T001019";"T001040";"H008520";"2022JJ00";"751689"
"216";"T001038";"10000";"T001019";"T001040";"H008524";"1996JJ00";"572914"
"217";"T001038";"10000";"T001019";"T001040";"H008524";"1997JJ00";"586613"
"218";"T001038";"10000";"T001019";"T001040";"H008524";"1998JJ00";"603031"
"219";"T001038";"10000";"T001019";"T001040";"H008524";"1999JJ00";"622201"
"220";"T001038";"10000";"T001019";"T001040";"H008524";"2000JJ00";"637918"
"221";"T001038";"10000";"T001019";"T001040";"H008524";"2001JJ00";"657558"
"222";"T001038";"10000";"T001019";"T001040";"H008524";"2002JJ00";"677504"
"223";"T001038";"10000";"T001019";"T001040";"H008524";"2003JJ00";"690517"
"224";"T001038";"10000";"T001019";"T001040";"H008524";"2004JJ00";"699469"
"225";"T001038";"10000";"T001019";"T001040";"H008524";"2005JJ00";"705035"
"226";"T001038";"10000";"T001019";"T001040";"H008524";"2006JJ00";"707134"
"227";"T001038";"10000";"T001019";"T001040";"H008524";"2007JJ00";"708935"
"228";"T001038";"10000";"T001019";"T001040";"H008524";"2008JJ00";"714470"
"229";"T001038";"10000";"T001019";"T001040";"H008524";"2009JJ00";"726646"
"230";"T001038";"10000";"T001019";"T001040";"H008524";"2010JJ00";"737866"
"231";"T001038";"10000";"T001019";"T001040";"H008524";"2011JJ00";"747034"
"232";"T001038";"10000";"T001019";"T001040";"H008524";"2012JJ00";"757316"
"233";"T001038";"10000";"T001019";"T001040";"H008524";"2013JJ00";"765621"
"234";"T001038";"10000";"T001019";"T001040";"H008524";"2014JJ00";"775520"
"235";"T001038";"10000";"T001019";"T001040";"H008524";"2015JJ00";"793621"
"236";"T001038";"10000";"T001019";"T001040";"H008524";"2016JJ00";"826211"
"237";"T001038";"10000";"T001019";"T001040";"H008524";"2017JJ00";"874846"
"238";"T001038";"10000";"T001019";"T001040";"H008524";"2018JJ00";"909910"
"239";"T001038";"10000";"T001019";"T001040";"H008524";"2019JJ00";"937304"
"240";"T001038";"10000";"T001019";"T001040";"H008524";"2020JJ00";"969980"
"241";"T001038";"10000";"T001019";"T001040";"H008524";"2021JJ00";"985977"
"242";"T001038";"10000";"T001019";"T001040";"H008524";"2022JJ00";"1023304"
"243";"T001038";"10000";"T001019";"T001040";"H007933";"1996JJ00";"1134900"
"244";"T001038";"10000";"T001019";"T001040";"H007933";"1997JJ00";"1149025"
"245";"T001038";"10000";"T001019";"T001040";"H007933";"1998JJ00";"1167519"
"246";"T001038";"10000";"T001019";"T001040";"H007933";"1999JJ00";"1187061"
"247";"T001038";"10000";"T001019";"T001040";"H007933";"2000JJ00";"1209012"
"248";"T001038";"10000";"T001019";"T001040";"H007933";"2001JJ00";"1238682"
"249";"T001038";"10000";"T001019";"T001040";"H007933";"2002JJ00";"1267861"
"250";"T001038";"10000";"T001019";"T001040";"H007933";"2003JJ00";"1288479"
"251";"T001038";"10000";"T001019";"T001040";"H007933";"2004JJ00";"1303662"
"252";"T001038";"10000";"T001019";"T001040";"H007933";"2005JJ00";"1316219"
"253";"T001038";"10000";"T001019";"T001040";"H007933";"2006JJ00";"1328064"
"254";"T001038";"10000";"T001019";"T001040";"H007933";"2007JJ00";"1339242"
"255";"T001038";"10000";"T001019";"T001040";"H007933";"2008JJ00";"1363223"
"256";"T001038";"10000";"T001019";"T001040";"H007933";"2009JJ00";"1398450"
"257";"T001038";"10000";"T001019";"T001040";"H007933";"2010JJ00";"1428461"
"258";"T001038";"10000";"T001019";"T001040";"H007933";"2011JJ00";"1460931"
"259";"T001038";"10000";"T001019";"T001040";"H007933";"2012JJ00";"1494803"
"260";"T001038";"10000";"T001019";"T001040";"H007933";"2013JJ00";"1519080"
"261";"T001038";"10000";"T001019";"T001040";"H007933";"2014JJ00";"1542277"
"262";"T001038";"10000";"T001019";"T001040";"H007933";"2015JJ00";"1572649"
"263";"T001038";"10000";"T001019";"T001040";"H007933";"2016JJ00";"1602379"
"264";"T001038";"10000";"T001019";"T001040";"H007933";"2017JJ00";"1638193"
"265";"T001038";"10000";"T001019";"T001040";"H007933";"2018JJ00";"1681584"
"266";"T001038";"10000";"T001019";"T001040";"H007933";"2019JJ00";"1731779"
"267";"T001038";"10000";"T001019";"T001040";"H007933";"2020JJ00";"1791850"
"268";"T001038";"10000";"T001019";"T001040";"H007933";"2021JJ00";"1830696"
"269";"T001038";"10000";"T001019";"T001040";"H007933";"2022JJ00";"1889704"
"270";"T001038";"10000";"T001019";"T001040";"H008531";"1996JJ00";"13969"
"271";"T001038";"10000";"T001019";"T001040";"H008531";"1997JJ00";"14370"
"272";"T001038";"10000";"T001019";"T001040";"H008531";"1998JJ00";"14975"
"273";"T001038";"10000";"T001019";"T001040";"H008531";"1999JJ00";"15712"
"274";"T001038";"10000";"T001019";"T001040";"H008531";"2000JJ00";"16536"
"275";"T001038";"10000";"T001019";"T001040";"H008531";"2001JJ00";"17401"
"276";"T001038";"10000";"T001019";"T001040";"H008531";"2002JJ00";"18388"
"277";"T001038";"10000";"T001019";"T001040";"H008531";"2003JJ00";"18967"
"278";"T001038";"10000";"T001019";"T001040";"H008531";"2004JJ00";"19278"
"279";"T001038";"10000";"T001019";"T001040";"H008531";"2005JJ00";"19520"
"280";"T001038";"10000";"T001019";"T001040";"H008531";"2006JJ00";"19602"
"281";"T001038";"10000";"T001019";"T001040";"H008531";"2007JJ00";"19680"
"282";"T001038";"10000";"T001019";"T001040";"H008531";"2008JJ00";"19821"
"283";"T001038";"10000";"T001019";"T001040";"H008531";"2009JJ00";"20025"
"284";"T001038";"10000";"T001019";"T001040";"H008531";"2010JJ00";"20232"
"285";"T001038";"10000";"T001019";"T001040";"H008531";"2011JJ00";"20476"
"286";"T001038";"10000";"T001019";"T001040";"H008531";"2012JJ00";"20660"
"287";"T001038";"10000";"T001019";"T001040";"H008531";"2013JJ00";"20799"
"288";"T001038";"10000";"T001019";"T001040";"H008531";"2014JJ00";"21030"
"289";"T001038";"10000";"T001019";"T001040";"H008531";"2015JJ00";"21355"
"290";"T001038";"10000";"T001019";"T001040";"H008531";"2016JJ00";"22048"
"291";"T001038";"10000";"T001019";"T001040";"H008531";"2017JJ00";"22659"
"292";"T001038";"10000";"T001019";"T001040";"H008531";"2018JJ00";"23207"
"293";"T001038";"10000";"T001019";"T001040";"H008531";"2019JJ00";"23828"
"294";"T001038";"10000";"T001019";"T001040";"H008531";"2020JJ00";"24542"
"295";"T001038";"10000";"T001019";"T001040";"H008531";"2021JJ00";"24390"
"296";"T001038";"10000";"T001019";"T001040";"H008531";"2022JJ00";"24423"
"297";"T001038";"10000";"T001019";"T001040";"H007935";"1996JJ00";"731930"
"298";"T001038";"10000";"T001019";"T001040";"H007935";"1997JJ00";"730557"
"299";"T001038";"10000";"T001019";"T001040";"H007935";"1998JJ00";"733059"
"300";"T001038";"10000";"T001019";"T001040";"H007935";"1999JJ00";"735701"
"301";"T001038";"10000";"T001019";"T001040";"H007935";"2000JJ00";"739309"
"302";"T001038";"10000";"T001019";"T001040";"H007935";"2001JJ00";"744219"
"303";"T001038";"10000";"T001019";"T001040";"H007935";"2002JJ00";"748930"
"304";"T001038";"10000";"T001019";"T001040";"H007935";"2003JJ00";"749561"
"305";"T001038";"10000";"T001019";"T001040";"H007935";"2004JJ00";"748417"
"306";"T001038";"10000";"T001019";"T001040";"H007935";"2005JJ00";"811570"
"307";"T001038";"10000";"T001019";"T001040";"H007935";"2006JJ00";"815968"
"308";"T001038";"10000";"T001019";"T001040";"H007935";"2007JJ00";"834474"
"309";"T001038";"10000";"T001019";"T001040";"H007935";"2008JJ00";"851690"
"310";"T001038";"10000";"T001019";"T001040";"H007935";"2009JJ00";"877552"
"311";"T001038";"10000";"T001019";"T001040";"H007935";"2010JJ00";"897994"
"312";"T001038";"10000";"T001019";"T001040";"H007935";"2011JJ00";"921064"
"313";"T001038";"10000";"T001019";"T001040";"H007935";"2012JJ00";"946621"
"314";"T001038";"10000";"T001019";"T001040";"H007935";"2013JJ00";"965082"
"315";"T001038";"10000";"T001019";"T001040";"H007935";"2014JJ00";"984106"
"316";"T001038";"10000";"T001019";"T001040";"H007935";"2015JJ00";"1009902"
"317";"T001038";"10000";"T001019";"T001040";"H007935";"2016JJ00";"1034201"
"318";"T001038";"10000";"T001019";"T001040";"H007935";"2017JJ00";"1061721"
"319";"T001038";"10000";"T001019";"T001040";"H007935";"2018JJ00";"1095055"
"320";"T001038";"10000";"T001019";"T001040";"H007935";"2019JJ00";"1132651"
"321";"T001038";"10000";"T001019";"T001040";"H007935";"2020JJ00";"1176651"
"322";"T001038";"10000";"T001019";"T001040";"H007935";"2021JJ00";"1122201"
"323";"T001038";"10000";"T001019";"T001040";"H007935";"2022JJ00";"1164767"
"324";"T001038";"10000";"T001019";"T001040";"H007936";"1996JJ00";"82927"
"325";"T001038";"10000";"T001019";"T001040";"H007936";"1997JJ00";"83775"
"326";"T001038";"10000";"T001019";"T001040";"H007936";"1998JJ00";"85395"
"327";"T001038";"10000";"T001019";"T001040";"H007936";"1999JJ00";"87271"
"328";"T001038";"10000";"T001019";"T001040";"H007936";"2000JJ00";"89316"
"329";"T001038";"10000";"T001019";"T001040";"H007936";"2001JJ00";"91567"
"330";"T001038";"10000";"T001019";"T001040";"H007936";"2002JJ00";"94048"
"331";"T001038";"10000";"T001019";"T001040";"H007936";"2003JJ00";"95837"
"332";"T001038";"10000";"T001019";"T001040";"H007936";"2004JJ00";"96981"
"333";"T001038";"10000";"T001019";"T001040";"H007936";"2005JJ00";"97392"
