"ID";"Geslacht";"Leeftijd";"Nationaliteit";"RegioS";"Perioden";"Bevolking_1"
"5139118";"T001038";"70500";"NAT9277";"GM0363";"2021JJ00";"2228"
"5161070";"T001038";"70500";"NAT9481";"GM0363";"2021JJ00";"2307"
"5183022";"T001038";"70500";"NAT9482";"GM0363";"2021JJ00";"11243"
"5204974";"T001038";"70500";"NAT9483";"GM0363";"2021JJ00";"4244"
"5226926";"T001038";"70500";"NAT9281";"GM0363";"2021JJ00";"438"
"5248878";"T001038";"70500";"NAT9292";"GM0363";"2021JJ00";"319"
"5270830";"T001038";"70500";"NAT9300";"GM0363";"2021JJ00";"109"
"5292782";"T001038";"70500";"NAT9301";"GM0363";"2021JJ00";"1082"
"5314734";"T001038";"70500";"NAT9303";"GM0363";"2021JJ00";"468"
"5336686";"T001038";"70500";"NAT9322";"GM0363";"2021JJ00";"1616"
"5358638";"T001038";"70500";"NAT9310";"GM0363";"2021JJ00";"710"
"5380590";"T001038";"70500";"NAT9326";"GM0363";"2021JJ00";"259"
"5402542";"T001038";"70500";"NAT9332";"GM0363";"2021JJ00";"956"
"5424494";"T001038";"70500";"NAT9338";"GM0363";"2021JJ00";"191"
"5446446";"T001038";"70500";"NAT9345";"GM0363";"2021JJ00";"218"
"5468398";"T001038";"70500";"NAT9346";"GM0363";"2021JJ00";"207"
"5490350";"T001038";"70500";"NAT9348";"GM0363";"2021JJ00";"229"
"5512302";"T001038";"70500";"NAT9349";"GM0363";"2021JJ00";"100"
"5534254";"T001038";"70500";"NAT9350";"GM0363";"2021JJ00";"21"
"5556206";"T001038";"70500";"NAT9353";"GM0363";"2021JJ00";"1113"
"5578158";"T001038";"70500";"NAT9356";"GM0363";"2021JJ00";"111"
"5600110";"T001038";"70500";"NAT9387";"GM0363";"2021JJ00";"342"
"5622062";"T001038";"70500";"NAT9415";"GM0363";"2021JJ00";"410"
"5644014";"T001038";"70500";"NAT9416";"GM0363";"2021JJ00";"292"
"5665966";"T001038";"70500";"NAT9417";"GM0363";"2021JJ00";"487"
"5687918";"T001038";"70500";"NAT9418";"GM0363";"2021JJ00";"254"
"5709870";"T001038";"70500";"NAT9440";"GM0363";"2021JJ00";"711"
"5731822";"T001038";"70500";"NAT9442";"GM0363";"2021JJ00";"151"
"5753774";"T001038";"70500";"NAT9444";"GM0363";"2021JJ00";"414"
"5775726";"T001038";"70500";"NAT9448";"GM0363";"2021JJ00";"26"
"5797678";"T001038";"70500";"NAT9458";"GM0363";"2021JJ00";"581"
"5819630";"T001038";"70500";"NAT9475";"GM0363";"2021JJ00";"449"
"5841582";"T001038";"70500";"NAT9476";"GM0363";"2021JJ00";"294"
"5863534";"T001038";"70500";"NAT9477";"GM0363";"2021JJ00";"762"
"5885486";"T001038";"70500";"NAT9478";"GM0363";"2021JJ00";"2071"
"5907438";"T001038";"70500";"NAT9480";"GM0363";"2021JJ00";"107"
"5929390";"T001038";"70600";"T001059";"GM0363";"2021JJ00";"98375"
"5951342";"T001038";"70600";"NAT9489";"GM0363";"2021JJ00";"27205"
"5973294";"T001038";"70600";"NAT9267";"GM0363";"2021JJ00";"71170"
"5995246";"T001038";"70600";"NAT9269";"GM0363";"2021JJ00";"1908"
"6017198";"T001038";"70600";"NAT9270";"GM0363";"2021JJ00";"2349"
"6039150";"T001038";"70600";"NAT9271";"GM0363";"2021JJ00";"4056"
"6061102";"T001038";"70600";"NAT9272";"GM0363";"2021JJ00";"18336"
"6083054";"T001038";"70600";"NAT9274";"GM0363";"2021JJ00";"375"
"6105006";"T001038";"70600";"NAT9275";"GM0363";"2021JJ00";"13746"
"6126958";"T001038";"70600";"NAT9277";"GM0363";"2021JJ00";"3359"
"6148910";"T001038";"70600";"NAT9481";"GM0363";"2021JJ00";"5112"
"6170862";"T001038";"70600";"NAT9482";"GM0363";"2021JJ00";"19267"
"6192814";"T001038";"70600";"NAT9483";"GM0363";"2021JJ00";"7757"
"6214766";"T001038";"70600";"NAT9281";"GM0363";"2021JJ00";"1005"
"6236718";"T001038";"70600";"NAT9292";"GM0363";"2021JJ00";"539"
"6258670";"T001038";"70600";"NAT9300";"GM0363";"2021JJ00";"439"
"6280622";"T001038";"70600";"NAT9301";"GM0363";"2021JJ00";"2085"
"6302574";"T001038";"70600";"NAT9303";"GM0363";"2021JJ00";"655"
"6324526";"T001038";"70600";"NAT9322";"GM0363";"2021JJ00";"1734"
"6346478";"T001038";"70600";"NAT9310";"GM0363";"2021JJ00";"909"
"6368430";"T001038";"70600";"NAT9326";"GM0363";"2021JJ00";"371"
"6390382";"T001038";"70600";"NAT9332";"GM0363";"2021JJ00";"1667"
"6412334";"T001038";"70600";"NAT9338";"GM0363";"2021JJ00";"757"
"6434286";"T001038";"70600";"NAT9345";"GM0363";"2021JJ00";"349"
"6456238";"T001038";"70600";"NAT9346";"GM0363";"2021JJ00";"360"
"6478190";"T001038";"70600";"NAT9348";"GM0363";"2021JJ00";"974"
"6500142";"T001038";"70600";"NAT9349";"GM0363";"2021JJ00";"126"
"6522094";"T001038";"70600";"NAT9350";"GM0363";"2021JJ00";"60"
"6544046";"T001038";"70600";"NAT9353";"GM0363";"2021JJ00";"2478"
"6565998";"T001038";"70600";"NAT9356";"GM0363";"2021JJ00";"115"
"6587950";"T001038";"70600";"NAT9387";"GM0363";"2021JJ00";"555"
"6609902";"T001038";"70600";"NAT9415";"GM0363";"2021JJ00";"634"
"6631854";"T001038";"70600";"NAT9416";"GM0363";"2021JJ00";"527"
"6653806";"T001038";"70600";"NAT9417";"GM0363";"2021JJ00";"776"
"6675758";"T001038";"70600";"NAT9418";"GM0363";"2021JJ00";"598"
"6697710";"T001038";"70600";"NAT9440";"GM0363";"2021JJ00";"1350"
"6719662";"T001038";"70600";"NAT9442";"GM0363";"2021JJ00";"159"
"6741614";"T001038";"70600";"NAT9444";"GM0363";"2021JJ00";"574"
"6763566";"T001038";"70600";"NAT9448";"GM0363";"2021JJ00";"43"
"6785518";"T001038";"70600";"NAT9458";"GM0363";"2021JJ00";"935"
"6807470";"T001038";"70600";"NAT9475";"GM0363";"2021JJ00";"982"
"6829422";"T001038";"70600";"NAT9476";"GM0363";"2021JJ00";"746"
"6851374";"T001038";"70600";"NAT9477";"GM0363";"2021JJ00";"1255"
"6873326";"T001038";"70600";"NAT9478";"GM0363";"2021JJ00";"2892"
"6895278";"T001038";"70600";"NAT9480";"GM0363";"2021JJ00";"181"
"6917230";"T001038";"70700";"T001059";"GM0363";"2021JJ00";"92002"
"6939182";"T001038";"70700";"NAT9489";"GM0363";"2021JJ00";"29671"
"6961134";"T001038";"70700";"NAT9267";"GM0363";"2021JJ00";"62331"
"6983086";"T001038";"70700";"NAT9269";"GM0363";"2021JJ00";"2223"
"7005038";"T001038";"70700";"NAT9270";"GM0363";"2021JJ00";"3455"
"7026990";"T001038";"70700";"NAT9271";"GM0363";"2021JJ00";"4482"
"7048942";"T001038";"70700";"NAT9272";"GM0363";"2021JJ00";"18785"
"7070894";"T001038";"70700";"NAT9274";"GM0363";"2021JJ00";"531"
"7092846";"T001038";"70700";"NAT9275";"GM0363";"2021JJ00";"13371"
"7114798";"T001038";"70700";"NAT9277";"GM0363";"2021JJ00";"3908"
"7136750";"T001038";"70700";"NAT9481";"GM0363";"2021JJ00";"5018"
"7158702";"T001038";"70700";"NAT9482";"GM0363";"2021JJ00";"19899"
"7180654";"T001038";"70700";"NAT9483";"GM0363";"2021JJ00";"9577"
"7202606";"T001038";"70700";"NAT9281";"GM0363";"2021JJ00";"1425"
"7224558";"T001038";"70700";"NAT9292";"GM0363";"2021JJ00";"429"
"7246510";"T001038";"70700";"NAT9300";"GM0363";"2021JJ00";"782"
"7268462";"T001038";"70700";"NAT9301";"GM0363";"2021JJ00";"2114"
"7290414";"T001038";"70700";"NAT9303";"GM0363";"2021JJ00";"738"
"7312366";"T001038";"70700";"NAT9322";"GM0363";"2021JJ00";"1470"
"7334318";"T001038";"70700";"NAT9310";"GM0363";"2021JJ00";"686"
"7356270";"T001038";"70700";"NAT9326";"GM0363";"2021JJ00";"234"
"7378222";"T001038";"70700";"NAT9332";"GM0363";"2021JJ00";"1499"
"7400174";"T001038";"70700";"NAT9338";"GM0363";"2021JJ00";"842"
"7422126";"T001038";"70700";"NAT9345";"GM0363";"2021JJ00";"398"
"7444078";"T001038";"70700";"NAT9346";"GM0363";"2021JJ00";"325"
"7466030";"T001038";"70700";"NAT9348";"GM0363";"2021JJ00";"1462"
"7487982";"T001038";"70700";"NAT9349";"GM0363";"2021JJ00";"137"
"7509934";"T001038";"70700";"NAT9350";"GM0363";"2021JJ00";"43"
"7531886";"T001038";"70700";"NAT9353";"GM0363";"2021JJ00";"2419"
"7553838";"T001038";"70700";"NAT9356";"GM0363";"2021JJ00";"207"
"7575790";"T001038";"70700";"NAT9387";"GM0363";"2021JJ00";"750"
"7597742";"T001038";"70700";"NAT9415";"GM0363";"2021JJ00";"800"
"7619694";"T001038";"70700";"NAT9416";"GM0363";"2021JJ00";"564"
"7641646";"T001038";"70700";"NAT9417";"GM0363";"2021JJ00";"1062"
"7663598";"T001038";"70700";"NAT9418";"GM0363";"2021JJ00";"809"
"7685550";"T001038";"70700";"NAT9440";"GM0363";"2021JJ00";"1193"
"7707502";"T001038";"70700";"NAT9442";"GM0363";"2021JJ00";"180"
