"Buurten";"bevolking totaal|2018";"mannen (aantal)|2018";"vrouwen (aantal)|2018";"jeugd: 0 t/m 17 jarigen|2018";"jongeren: 18 t/m 26 jaar|2018";"volwassenen: 27 t/m 64 jaar|2018";"senioren: 65 jaar en ouder|2018";"woonruimten|2018";"zelfstandige woningen eigenaar-bewoner|2018";"zelfstandige woningen in corporatief bezit|2018";"gemiddeld huishoudensinkomen|2018";"percentage minimahuishoudens|2018";"aangiften diefstal af/uit woning|2018";"aangiften diefstal fiets|2018";"aangiften diefstal auto|2018";"aangiften diefstal af/uit auto|2018";"aangiften diefstal af/uit bedrijf|2018";"aangiften van vernieling|2018";"aangiften van mishandeling|2018"
"1205 Hunzepark";"";"";"";"";"";"";"";0;"";"";"";"";1;3;0;5;0;2;1
"1206 Zilvermeer";219;109;110;41;18;123;37;86;85;0;"-";"";1;3;0;5;0;2;1
"1207 Kardinge";2;1;1;0;0;2;0;1;0;0;"";"";1;3;0;5;0;2;1
"1208 Drielanden";970;499;471;227;75;568;100;391;352;26;49,8;2,6;3;1;0;1;0;1;0
"1209 Noorddijk";102;45;57;21;8;48;25;43;37;0;"";"";2;1;0;1;0;1;0
"1210 Ruischerbrug";480;229;251;85;34;245;116;212;143;48;41,8;7,0;3;1;0;1;0;1;0
"1211 Ruischerwaard";1366;685;681;340;128;807;91;513;459;24;50,5;2,9;2;1;0;1;0;1;0
"1300 Middelbert";107;55;52;21;10;51;25;41;28;4;"";"";0;1;0;1;0;1;0
"1301 Engelbert";890;454;436;198;71;453;164;375;267;60;49,8;8,3;1;0;0;0;0;1;2
"1302 Klein Harkstede";61;30;31;6;2;38;15;30;25;0;"";"";0;0;0;0;0;0;0
"1400 Meeroevers";818;428;390;289;34;482;13;226;208;0;62,1;0,0;1;0;0;2;1;2;0
"1401 Harkstede (GN)";218;110;108;59;12;112;35;74;56;0;"-";"";1;0;0;0;0;0;0
"1402 Lageland (GN)";108;62;46;28;8;65;7;29;21;0;"";"";0;0;0;0;0;1;0
"1403 Groenewei";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1404 Tersluis";26;11;15;9;3;14;0;6;2;0;"";"";0;0;0;0;0;0;0
"1405 De Zeilen";4;3;1;2;0;2;0;"";"";"";"";"";"";"";"";"";"";"";""
"1406 De Wierden";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";""
"1500 Ten Boer";"";"";"";"";"";"";"";"";"";"";41,7;7,6;2;4;0;0;1;19;4
"1501 Buitengebied Ten Boer-Zuid";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;1;0;0
"1502 Garmerwolde";"";"";"";"";"";"";"";"";"";"";47,6;4,5;0;0;0;0;0;0;1
"1503 Thesinge";"";"";"";"";"";"";"";"";"";"";50,9;4,4;0;0;0;0;0;0;0
"1504 Sint-Annen";"";"";"";"";"";"";"";"";"";"";"-";"";0;0;0;0;0;0;0
"1505 Buitengebied Ten Boer-Noord";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;1;0
"1506 Bedrijventerrein Dijkshorn";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;0;0;0;0
"1600 Ten Post Dorp";"";"";"";"";"";"";"";"";"";"";41,8;5,3;1;0;0;0;0;2;0
"1601 Lellens";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1602 Woltersum";"";"";"";"";"";"";"";"";"";"";42,2;9,5;0;0;0;0;0;0;2
"1603 Winneweer";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;1;0;1
"1604 Wittewierum";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1605 Buitengebied ten Post";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"1700 Haren-Centrum";"";"";"";"";"";"";"";"";"";"";42,7;7,8;8;5;5;2;6;0;6
"1701 Haren-Zuidwest";"";"";"";"";"";"";"";"";"";"";53,4;7,8;16;5;6;4;2;0;5
