buurt_number,dogs_amount,aantal_mensen_met_een_uitkering_Participatiewet,percentage_mensen_met_een_uitkering_krachtens_de_Participatiewet,bevolking_totaal,mannen_aantal,vrouwen_aantal,mannen_perc,vrouwen_perc,jeugd_0_17_jarigen,jongeren_18_26_jaar,volwassenen_27_64_jaar,senioren_65_jaar_en_ouder,perc_jeugd_0_17_jaar,perc_jongeren_18_26_jaar,perc_volwassenen_27_64_jaar,perc_senioren_65_jaar_en_ouder,woonruimten,percentage_woonruimten,perc_zelfstandige_woningen_eigenaar-bewoner,perc_zelfstandige_woningen_in_corporatief_bezit,perc_zelfstandige_woningen_overig_incl_onbekend,gemiddeld_huishoudensinkomen,koopkracht_van_huishoudens,percentage_minimahuishoudens,aangiften_diefstal_af_uit_woning,aangiften_diefstal_af_uit_woning_relatief,aangiften_diefstal_auto,aangiften_diefstal_af_uit_bedrijf,aangiften_diefstal_fiets,aangiften_diefstal_af_uit_auto,aangiften_van_mishandeling,aangiften_van_vernieling,aangiften_mishandeling_relatief,buurt_name
0703,2,0,0.0,17.0,12.0,5.0,70.6,29.4,1.0,13.0,3.0,0.0,5.9,76.5,17.6,0.0,2.0,3.9,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,Van Swieten
0704,35,0,0.0,1217.0,598.0,619.0,49.1,50.9,349.0,83.0,627.0,158.0,28.7,6.8,51.5,13.0,425.0,98.8,90.8,0.0,9.2,78.6,161.5,1.2,4.0,9.4,0.0,1.0,3.0,0.0,2.0,4.0,1.6,Piccardthof
0705,3,0,0.0,40.0,26.0,14.0,65.0,35.0,6.0,1.0,23.0,10.0,15.0,2.5,57.5,25.0,1.0,2.9,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,Bruilwering
0800,174,96,8.0,1862.0,949.0,913.0,51.0,49.0,357.0,201.0,930.0,374.0,19.2,10.8,49.9,20.1,862.0,77.6,41.5,45.5,13.0,32.4,77.1,19.3,3.0,3.5,0.0,1.0,2.0,0.0,10.0,22.0,5.4,Hoogkerk Dorp
0801,347,136,4.1,5466.0,2659.0,2807.0,48.6,51.4,1202.0,456.0,2667.0,1141.0,22.0,8.3,48.8,20.9,2440.0,88.2,58.2,28.4,13.4,36.8,85.0,11.0,12.0,4.9,1.0,1.0,2.0,2.0,7.0,16.0,1.3,Hoogkerk-Zuid
0803,16,0,0.0,138.0,64.0,74.0,46.4,53.6,27.0,13.0,82.0,16.0,19.6,9.4,59.4,11.6,59.0,92.2,67.8,0.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Vierverlaten
0804,9,0,0.0,45.0,26.0,19.0,57.8,42.2,11.0,3.0,19.0,12.0,24.4,6.7,42.2,26.7,17.0,45.9,64.7,0.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zuidwending
0805,7,0,0.0,78.0,44.0,34.0,56.4,43.6,15.0,7.0,43.0,13.0,19.2,9.0,55.1,16.7,28.0,87.5,82.1,0.0,17.9,0.0,0.0,0.0,1.0,35.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Leegkerk
0806,105,12,0.8,2296.0,1153.0,1143.0,50.2,49.8,827.0,141.0,1225.0,102.0,36.0,6.1,53.4,4.4,703.0,99.3,81.8,10.0,8.3,60.0,116.3,2.8,8.0,11.4,0.0,0.0,2.0,1.0,2.0,6.0,0.9,Gravenburg
0808,2,0,0.0,26.0,12.0,14.0,46.2,53.8,4.0,6.0,8.0,8.0,15.4,23.1,30.8,30.8,11.0,6.5,18.2,9.1,72.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,2.0,0.0,Peizerweg
