dogs_amount,buurtcode,aantal_mensen_met_een_uitkering_Participatiewet,percentage_mensen_met_een_uitkering_krachtens_de_Participatiewet,bevolking_totaal,mannen_aantal,vrouwen_aantal,jeugd_0_17_jarigen,jongeren_18_26_jaar,volwassenen_27_64_jaar,senioren_65_jaar_en_ouder,woonruimten,zelfstandige_woningen_eigenaar-bewoner,zelfstandige_woningen_in_corporatief_bezit,gemiddeld_huishoudensinkomen,percentage_minimahuishoudens,aangiften_diefstal_af_uit_woning,aangiften_diefstal_fiets,aangiften_diefstal_auto,aangiften_diefstal_af_uit_auto,aangiften_diefstal_af_uit_bedrijf,aangiften_van_vernieling,aangiften_van_mishandeling,buurt_name,politie_report_aantal
105,BU000806,12,0.8,2296.0,1153.0,1143.0,827.0,141.0,1225.0,102.0,703.0,575.0,70.0,60.0,2.8,8.0,2.0,0.0,1.0,0.0,6.0,2.0,Gravenburg,19.0
2,BU000808,0,0.0,26.0,12.0,14.0,4.0,6.0,8.0,8.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,2.0,0.0,Peizerweg,11.0
27,BU000809,0,0.0,276.0,140.0,136.0,53.0,26.0,151.0,46.0,98.0,79.0,0.0,39.6,8.7,4.0,0.0,1.0,0.0,0.0,2.0,1.0,Bangeweer,8.0
69,BU000810,0,0.0,1604.0,780.0,824.0,513.0,88.0,862.0,141.0,548.0,476.0,40.0,63.8,0.9,7.0,2.0,0.0,1.0,0.0,6.0,2.0,De Buitenhof,18.0
2,BU000811,0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kranenburg,0.0
14,BU000812,54,25.8,331.0,159.0,172.0,87.0,33.0,167.0,44.0,57.0,4.0,51.0,25.2,56.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,De Kring,2.0
251,BU000900,302,6.7,6119.0,3152.0,2967.0,745.0,1991.0,2377.0,1002.0,2743.0,763.0,1706.0,28.8,20.2,17.0,20.0,1.0,5.0,3.0,30.0,14.0,Vinkhuizen-Noord,90.0
229,BU000901,426,14.6,4861.0,2228.0,2633.0,1007.0,580.0,2122.0,1147.0,2328.0,503.0,1438.0,29.2,27.2,12.0,11.0,1.0,5.0,4.0,51.0,26.0,Vinkhuizen-Zuid,110.0
11,BU000902,0,0.0,130.0,79.0,51.0,16.0,17.0,86.0,11.0,43.0,29.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,8.0,9.0,5.0,Hoendiep,29.0
0,BU000903,0,0.0,42.0,27.0,15.0,3.0,17.0,18.0,4.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Friesestraatweg,2.0
100,BU000904,0,0.0,2685.0,1383.0,1302.0,902.0,138.0,1497.0,147.0,934.0,772.0,29.0,61.6,2.2,7.0,7.0,0.0,3.0,2.0,18.0,15.0,Reitdiep,52.0
9,BU000905,0,0.0,83.0,46.0,37.0,15.0,8.0,43.0,17.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Dorkwerd,2.0
135,BU000906,18,1.0,2668.0,1347.0,1321.0,686.0,197.0,1409.0,376.0,1018.0,839.0,100.0,49.9,3.4,12.0,3.0,0.0,1.0,0.0,7.0,5.0,De Held,28.0
171,BU001000,487,11.0,6231.0,3053.0,3178.0,922.0,1886.0,2412.0,995.0,3271.0,749.0,1605.0,27.2,26.6,27.0,64.0,2.0,6.0,1.0,44.0,19.0,Selwerd,163.0
165,BU001001,445,14.4,4614.0,2238.0,2376.0,976.0,850.0,2109.0,665.0,2390.0,583.0,1405.0,31.0,28.5,13.0,41.0,2.0,15.0,2.0,40.0,5.0,Paddepoel-Zuid,118.0
153,BU001002,291,7.4,5897.0,2822.0,3075.0,622.0,1617.0,2202.0,1446.0,3201.0,863.0,1694.0,27.8,25.0,29.0,31.0,0.0,8.0,5.0,31.0,16.0,Paddepoel-Noord,120.0
49,BU001005,122,9.5,1561.0,744.0,817.0,192.0,462.0,803.0,103.0,878.0,218.0,496.0,28.4,24.1,5.0,25.0,0.0,2.0,0.0,9.0,2.0,Tuinwijk,43.0
397,BU001100,313,7.1,6134.0,3106.0,3028.0,1280.0,711.0,3484.0,659.0,2975.0,1751.0,710.0,34.3,16.2,21.0,10.0,1.0,2.0,1.0,36.0,16.0,Beijum-West,87.0
456,BU001101,654,14.2,6351.0,3212.0,3139.0,1463.0,826.0,3530.0,524.0,3098.0,1038.0,1863.0,29.9,29.1,17.0,11.0,0.0,6.0,4.0,49.0,16.0,Beijum-Oost,103.0
100,BU001102,10,0.6,2495.0,1244.0,1251.0,486.0,236.0,1467.0,306.0,1005.0,915.0,1.0,49.6,1.9,15.0,5.0,2.0,3.0,2.0,7.0,2.0,De Hunze,36.0
27,BU001103,0,0.0,946.0,497.0,449.0,292.0,77.0,541.0,36.0,295.0,270.0,0.0,64.6,1.6,3.0,1.0,0.0,1.0,0.0,1.0,0.0,Van Starkenborgh,6.0
20,BU001104,0,0.0,284.0,150.0,134.0,49.0,40.0,154.0,41.0,122.0,93.0,0.0,48.3,8.5,2.0,1.0,0.0,1.0,1.0,3.0,0.0,Noorderhoogebrug,8.0
1,BU001105,0,0.0,35.0,20.0,15.0,7.0,4.0,17.0,7.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Het Witte Lam,0.0
11,BU001106,0,0.0,74.0,39.0,35.0,17.0,7.0,33.0,17.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Koningslaagte,0.0
254,BU001200,279,12.5,3646.0,1735.0,1911.0,752.0,331.0,1771.0,788.0,1810.0,639.0,966.0,30.0,25.5,11.0,11.0,0.0,1.0,3.0,22.0,15.0,Lewenborg-Noord,63.0
261,BU001201,217,9.5,3501.0,1689.0,1812.0,866.0,318.0,1844.0,470.0,1579.0,850.0,641.0,33.8,18.7,5.0,13.0,0.0,3.0,2.0,24.0,8.0,Lewenborg-Zuid,55.0
138,BU001202,27,2.1,1853.0,931.0,922.0,363.0,250.0,945.0,295.0,818.0,630.0,0.0,39.1,5.1,5.0,12.0,1.0,0.0,0.0,18.0,6.0,Lewenborg-West,42.0
147,BU001203,65,4.5,2235.0,1154.0,1081.0,320.0,238.0,1166.0,511.0,1093.0,602.0,336.0,39.1,11.8,8.0,5.0,3.0,2.0,4.0,11.0,5.0,Oosterhoogebrug,38.0
117,BU001204,48,3.3,2077.0,1042.0,1035.0,474.0,187.0,1176.0,240.0,840.0,569.0,149.0,44.7,7.7,12.0,4.0,1.0,2.0,1.0,5.0,1.0,Ulgersmaborg,26.0
8,BU001206,0,0.0,219.0,109.0,110.0,41.0,18.0,123.0,37.0,86.0,85.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,2.0,1.0,Zilvermeer,12.0
3,BU001207,0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,2.0,1.0,Kardinge,12.0
60,BU001208,0,0.0,970.0,499.0,471.0,227.0,75.0,568.0,100.0,391.0,352.0,26.0,49.8,2.6,3.0,1.0,0.0,1.0,0.0,1.0,0.0,Drielanden,6.0
24,BU001209,0,0.0,102.0,45.0,57.0,21.0,8.0,48.0,25.0,43.0,37.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,Noorddijk,5.0
36,BU001210,0,0.0,480.0,229.0,251.0,85.0,34.0,245.0,116.0,212.0,143.0,48.0,41.8,7.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,Ruischerbrug,6.0
71,BU001211,14,1.4,1366.0,685.0,681.0,340.0,128.0,807.0,91.0,513.0,459.0,24.0,50.5,2.9,2.0,1.0,0.0,1.0,0.0,1.0,0.0,Ruischerwaard,5.0
9,BU001300,0,0.0,107.0,55.0,52.0,21.0,10.0,51.0,25.0,41.0,28.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Middelbert,3.0
62,BU001301,11,2.0,890.0,454.0,436.0,198.0,71.0,453.0,164.0,375.0,267.0,60.0,49.8,8.3,1.0,0.0,0.0,0.0,0.0,1.0,2.0,Engelbert,4.0
7,BU001302,0,0.0,61.0,30.0,31.0,6.0,2.0,38.0,15.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Klein Harkstede,0.0
